"Titre","Montant","Devise","Taux de change","Montant dans la devise du tricount (CHF)","Type de transaction","Catégorie","Payé par","Payé par Caps","Payé par Emilian","Impacté à Caps","Impacté à Emilian","Date & heure","URL des images"
"Beer Pydata","4.00","CHF","1","4.00","Dépense","Restaurants & Bars","Emilian","0.00","4.00","0.00","-4.00","15 juin 2024 00:00",""
"Tacos Nyon","13.00","CHF","1","13.00","Dépense","Restaurants & Bars","Emilian","0.00","13.00","0.00","-13.00","15 juin 2024 00:00",""
"To good to go","7.90","CHF","1","7.90","Dépense","Courses","Emilian","0.00","7.90","0.00","-7.90","15 juin 2024 00:00",""
"Cocktail anniv Anna","27.00","CHF","1","27.00","Dépense","Restaurants & Bars","Emilian","0.00","27.00","-27.00","0.00","10 juin 2024 00:00",""
"Soirée Lausanne anniv Anna","16.00","CHF","1","16.00","Dépense","Restaurants & Bars","Emilian","0.00","16.00","-8.00","-8.00","10 juin 2024 00:00",""
"Courses Leclerc","67.00","EUR","0.978634","65.57","Dépense","Courses","Emilian","0.00","65.57","-32.78","-32.79","10 juin 2024 00:00",""
"Dentifrice et brosse","3.80","EUR","0.978634","3.72","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","3.72","-1.86","-1.86","10 juin 2024 00:00",""
"Exki Orly","9.80","EUR","0.978634","9.59","Dépense","Restaurants & Bars","Caps","9.59","0.00","-9.59","0.00","28 mai 2024 00:00",""
"Exki Orly","15.85","EUR","0.978634","15.51","Dépense","Restaurants & Bars","Caps","15.51","0.00","-15.51","0.00","28 mai 2024 00:00",""
"Pharmacie Orly","18.40","EUR","0.978634","18.01","Dépense","Soin de santé","Caps","18.01","0.00","-18.01","0.00","28 mai 2024 00:00",""
"Cookie mie caline","4.30","EUR","0.978634","4.21","Dépense","Plaisir 🍫","Caps","4.21","0.00","-4.21","0.00","27 mai 2024 00:00",""
"Yves Rocher","20.35","EUR","0.978634","19.92","Dépense","Hygiène et cosmétique 🧴","Caps","19.92","0.00","-19.92","0.00","27 mai 2024 00:00",""
"Logement Lyon","37.00","EUR","0.978634","36.21","Dépense","Logement","Caps","36.21","0.00","-36.21","0.00","6 avril 2024 00:00",""
"Lyon Genève","25.10","EUR","0.978634","24.56","Dépense","Transport","Caps","24.56","0.00","-24.56","0.00","1 avril 2024 00:00",""
"Geneve Lyon","33.40","EUR","0.978634","32.69","Dépense","Transport","Caps","32.69","0.00","-32.69","0.00","1 avril 2024 00:00",""
"H&H","37.90","CHF","1","37.90","Dépense","Shopping","Caps","37.90","0.00","-37.90","0.00","25 mai 2024 00:00",""
"Opodo","99.90","CHF","1","99.90","Dépense","Transport","Caps","99.90","0.00","-99.90","0.00","27 mai 2024 00:00",""
"Chewing-gum","2.95","CHF","1","2.95","Dépense","Courses","Caps","2.95","0.00","-2.95","0.00","6 juin 2024 00:00",""
"Myrtille","2.40","CHF","1","2.40","Dépense","Courses","Caps","2.40","0.00","-2.40","0.00","7 juin 2024 00:00",""
"H&M","22.60","CHF","1","22.60","Dépense","Shopping","Caps","22.60","0.00","-22.60","0.00","8 juin 2024 00:00",""
"Bracelet Ana","16.90","CHF","1","16.90","Dépense","Cadeau 🎁","Caps","16.90","0.00","-16.90","0.00","8 juin 2024 00:00",""
"Mc Fleury","4.60","CHF","1","4.60","Dépense","Plaisir 🍫","Caps","4.60","0.00","-2.30","-2.30","9 juin 2024 00:00",""
"Glaces Nuii","5.70","CHF","1","5.70","Dépense","Courses","Caps","5.70","0.00","-2.85","-2.85","31 mai 2024 00:00",""
"Gifi support vélo brosse à dent","10.60","CHF","1","10.60","Dépense","Dépense unique ⚡","Emilian","0.00","10.60","-5.30","-5.30","1 juin 2024 00:00",""
"Sacs poubelles","19.50","CHF","1","19.50","Dépense","Ordures 🗑️","Emilian","0.00","19.50","-9.75","-9.75","29 mai 2024 00:00",""
"Too good to go","7.90","CHF","1","7.90","Dépense","Courses","Emilian","0.00","7.90","-3.95","-3.95","26 mai 2024 00:00",""
"Too good to go","7.90","CHF","1","7.90","Dépense","Courses","Emilian","0.00","7.90","-3.95","-3.95","2 juin 2024 00:00",""
"Aldi","14.70","EUR","0.995142","14.63","Dépense","Courses","Emilian","0.00","14.63","-7.31","-7.32","28 mai 2024 00:00",""
"Cff","260.00","CHF","1","260.00","Dépense","Transport","Emilian","0.00","260.00","0.00","-260.00","1 juin 2024 00:00",""
"Cff","260.00","CHF","1","260.00","Dépense","Transport","Caps","260.00","0.00","-260.00","0.00","1 juin 2024 00:00",""
"Courses 2 juin","77.83","EUR","0.987396","76.85","Dépense","Courses","Caps","76.85","0.00","-38.42","-38.43","2 juin 2024 00:00",""
"Five Guys","41.40","CHF","1","41.40","Dépense","Restaurants & Bars","Emilian","0.00","41.40","-20.70","-20.70","16 mai 2024 00:00",""
"Afterwork Teoxane","22.00","CHF","1","22.00","Dépense","Restaurants & Bars","Emilian","0.00","22.00","0.00","-22.00","31 mai 2024 00:00",""
"Resto Genève","52.00","CHF","1","52.00","Dépense","Restaurants & Bars","Emilian","0.00","52.00","-26.00","-26.00","23 mai 2024 00:00",""
"Gaufres Morges","13.00","CHF","1","13.00","Dépense","Plaisir 🍫","Emilian","0.00","13.00","-6.50","-6.50","2 juin 2024 00:00",""
"Frais de conversion","2.75","CHF","1","2.75","Dépense","Frais bancaires 🏦","Caps","2.75","0.00","-2.75","0.00","2 juin 2024 00:00",""
"Frais de conversion","2.75","CHF","1","2.75","Dépense","Frais bancaires 🏦","Emilian","0.00","2.75","0.00","-2.75","2 juin 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Caps","775.00","0.00","-775.00","0.00","2 juin 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Emilian","0.00","775.00","0.00","-775.00","2 juin 2024 00:00",""
"Courses Leclerc","72.50","EUR","0.991914","71.91","Dépense","Courses","Emilian","0.00","71.91","-35.95","-35.96","22 mai 2024 00:00",""
"Argile et sham solide spray","10.30","EUR","0.991914","10.22","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","10.22","-5.11","-5.11","22 mai 2024 00:00",""
"Anniv boulot","10.07","EUR","0.991914","9.99","Dépense","Taff 🥂","Emilian","0.00","9.99","0.00","-9.99","22 mai 2024 00:00",""
"Frais de carte CA","2.00","EUR","0.991914","1.98","Dépense","Frais bancaires 🏦","Emilian","0.00","1.98","0.00","-1.98","1 mai 2024 00:00",""
"Frais de carte CA","2.00","EUR","0.991914","1.98","Dépense","Frais bancaires 🏦","Emilian","0.00","1.98","0.00","-1.98","1 avril 2024 00:00",""
"Frais de carte CA","2.00","EUR","0.991914","1.98","Dépense","Frais bancaires 🏦","Emilian","0.00","1.98","0.00","-1.98","1 mars 2024 00:00",""
"Courses Leclerc","93.13","EUR","0.991914","92.38","Dépense","Courses","Emilian","0.00","92.38","-46.19","-46.19","22 mai 2024 00:00",""
"Drive Carrefour","64.84","EUR","0.991914","64.32","Dépense","Courses","Emilian","0.00","64.32","-32.16","-32.16","22 mai 2024 00:00",""
"Courses Denner Pentecôte","32.85","CHF","1","32.85","Dépense","Courses","Emilian","0.00","32.85","-16.42","-16.43","22 mai 2024 00:00",""
"Glace Nyon","8.00","CHF","1","8.00","Dépense","Plaisir 🍫","Emilian","0.00","8.00","-4.00","-4.00","22 mai 2024 00:00",""
"Flixbus Bretagne Mai","130.00","EUR","0.980776","127.50","Dépense","Transport","Emilian","0.00","127.50","0.00","-127.50","20 mars 2024 00:00",""
"Verre Nyon copains","55.40","CHF","1","55.40","Dépense","Restaurants & Bars","Caps","55.40","0.00","-27.70","-27.70","22 mai 2024 00:00",""
"Caraque copains","13.50","CHF","1","13.50","Dépense","Plaisir 🍫","Caps","13.50","0.00","-6.75","-6.75","22 mai 2024 00:00",""
"Bouteille avec les copains","9.00","CHF","1","9.00","Dépense","Restaurants & Bars","Caps","9.00","0.00","-4.50","-4.50","22 mai 2024 00:00",""
"To good to go","7.90","CHF","1","7.90","Dépense","Courses","Caps","7.90","0.00","-3.95","-3.95","22 mai 2024 00:00",""
"Glace Nyon","8.00","CHF","1","8.00","Dépense","Plaisir 🍫","Emilian","0.00","8.00","-4.00","-4.00","22 mai 2024 00:00",""
"Resto avec les copains","126.00","EUR","0.991914","124.98","Dépense","Restaurants & Bars","Caps","124.98","0.00","-62.49","-62.49","22 mai 2024 00:00",""
"Casque Audio","90.00","EUR","0.980776","88.27","Dépense","Dépense unique ⚡","Emilian","0.00","88.27","0.00","-88.27","11 mai 2024 00:00",""
"Caramels boulot","5.60","EUR","0.980776","5.49","Dépense","Taff 🥂","Emilian","0.00","5.49","0.00","-5.49","11 mai 2024 00:00",""
"Sandwich retour flixbus","5.00","EUR","0.980776","4.90","Dépense","Courses","Emilian","0.00","4.90","0.00","-4.90","11 mai 2024 00:00",""
"Bar tournée","24.50","EUR","0.986993","24.18","Dépense","Restaurants & Bars","Emilian","0.00","24.18","0.00","-24.18","4 mai 2024 00:00",""
"Loyer avril","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Caps","775.00","0.00","-775.00","0.00","1 avril 2024 00:00",""
"Loyer avril","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Emilian","0.00","775.00","0.00","-775.00","1 avril 2024 00:00",""
"Subway Lyon","8.50","EUR","0.986993","8.39","Dépense","Restaurants & Bars","Emilian","0.00","8.39","0.00","-8.39","5 mai 2024 00:00",""
"Loyer mai","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Caps","775.00","0.00","-775.00","0.00","5 mai 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Emilian","0.00","775.00","0.00","-775.00","5 mai 2024 00:00",""
"Chocolat Cailler","20.35","CHF","1","20.35","Dépense","Plaisir 🍫","Caps","20.35","0.00","-10.17","-10.18","21 avril 2024 00:00",""
"Abo CFF","260.00","CHF","1","260.00","Dépense","Transport","Emilian","0.00","260.00","0.00","-260.00","1 mai 2024 00:00",""
"Abo CFF","260.00","CHF","1","260.00","Dépense","Transport","Caps","260.00","0.00","-260.00","0.00","1 mai 2024 00:00",""
"Carafe anniv Valérie","59.00","CHF","1","59.00","Dépense","Cadeau 🎁","Emilian","0.00","59.00","-20.00","-39.00","20 avril 2024 00:00",""
"Courses Coop Lausanne","21.10","CHF","1","21.10","Dépense","Courses","Caps","21.10","0.00","-10.55","-10.55","20 avril 2024 00:00",""
"Burritos meetup","15.00","CHF","1","15.00","Dépense","Restaurants & Bars","Emilian","0.00","15.00","0.00","-15.00","18 avril 2024 00:00",""
"Coiffeur","20.00","CHF","1","20.00","Dépense","Coiffeur 💈","Emilian","0.00","20.00","0.00","-20.00","17 avril 2024 00:00",""
"Activia","1.55","EUR","0.981362","1.52","Dépense","Courses","Caps","1.52","0.00","-0.76","-0.76","15 avril 2024 00:00",""
"Coton tiges","0.99","EUR","0.981362","0.97","Dépense","Hygiène et cosmétique 🧴","Caps","0.97","0.00","-0.48","-0.49","15 avril 2024 00:00",""
"Courses","116.09","EUR","0.981362","113.93","Dépense","Courses","Caps","113.93","0.00","-56.96","-56.97","14 avril 2024 00:00",""
"Sushi","33.30","CHF","1","33.30","Dépense","Restaurants & Bars","Emilian","0.00","33.30","-16.65","-16.65","14 avril 2024 00:00",""
"Raclette Cully jazz","12.00","CHF","1","12.00","Dépense","Restaurants & Bars","Caps","12.00","0.00","-6.00","-6.00","14 avril 2024 00:00",""
"Gynofit","22.60","CHF","1","22.60","Dépense","Soin de santé","Caps","22.60","0.00","-22.60","0.00","13 avril 2024 00:00",""
"Gel douche","5.00","EUR","0.98658","4.93","Dépense","Hygiène et cosmétique 🧴","Caps","4.93","0.00","-2.46","-2.47","10 avril 2024 00:00",""
"Courses","125.00","EUR","0.98658","123.32","Dépense","Courses","Caps","123.32","0.00","-61.66","-61.66","10 avril 2024 00:00",""
"Évènement Watch Geneva","40.00","CHF","1","40.00","Dépense","Loisirs 🏩","Emilian","0.00","40.00","0.00","-40.00","8 avril 2024 00:00",""
"Bière meetup","4.00","CHF","1","4.00","Dépense","Restaurants & Bars","Emilian","0.00","4.00","0.00","-4.00","5 avril 2024 00:00",""
"Too good to go","5.90","CHF","1","5.90","Dépense","Courses","Emilian","0.00","5.90","-2.95","-2.95","5 avril 2024 00:00",""
"Argent avec mes parents WE 4-5 avril","100.00","CHF","1","100.00","Dépense","Liquide 💸","Caps","100.00","0.00","-100.00","0.00","5 avril 2024 00:00",""
"Courses","126.46","EUR","0.985586","124.64","Dépense","Courses","Caps","124.64","0.00","-62.32","-62.32","4 avril 2024 00:00",""
"Dîner too good to go","5.90","CHF","1","5.90","Dépense","Courses","Emilian","0.00","5.90","0.00","-5.90","3 avril 2024 00:00",""
"Courses","6.25","CHF","1","6.25","Dépense","Courses","Emilian","0.00","6.25","-3.12","-3.13","3 avril 2024 00:00",""
"Frais loyer","29.00","CHF","1","29.00","Dépense","Frais bancaires 🏦","Emilian","0.00","29.00","-14.50","-14.50","3 avril 2024 00:00",""
"Mini courses","7.70","CHF","1","7.70","Dépense","Courses","Emilian","0.00","7.70","-3.85","-3.85","1 avril 2024 00:00",""
"Concealer Kiko","11.50","CHF","1","11.50","Dépense","Produits de beauté 💄","Caps","11.50","0.00","-11.50","0.00","31 mars 2024 00:00",""
"Vêtements puces Nyon","12.00","CHF","1","12.00","Dépense","Shopping","Emilian","0.00","12.00","-12.00","0.00","31 mars 2024 00:00",""
"Casse-tête puces Nyon","25.00","CHF","1","25.00","Dépense","Plaisir 🍫","Emilian","0.00","25.00","0.00","-25.00","31 mars 2024 00:00",""
"Street food festival","27.00","CHF","1","27.00","Dépense","Restaurants & Bars","Emilian","0.00","27.00","-13.00","-14.00","30 mars 2024 00:00",""
"Goûter boulangerie","5.80","CHF","1","5.80","Dépense","Plaisir 🍫","Emilian","0.00","5.80","-2.90","-2.90","30 mars 2024 00:00",""
"Sauna","32.00","CHF","1","32.00","Dépense","Loisirs 🏩","Emilian","0.00","32.00","-16.00","-16.00","30 mars 2024 00:00",""
"Courses de Pâques","12.90","CHF","1","12.90","Dépense","Plaisir 🍫","Emilian","0.00","12.90","-6.45","-6.45","30 mars 2024 00:00",""
"Apéro de la galère","18.90","CHF","1","18.90","Dépense","Courses","Caps","18.90","0.00","-9.45","-9.45","28 mars 2024 00:00",""
"Fromage blanc","2.55","CHF","1","2.55","Dépense","Courses","Caps","2.55","0.00","-1.27","-1.28","27 mars 2024 00:00",""
"Dentifrice","5.00","EUR","0.974965","4.87","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","4.87","-2.43","-2.44","27 mars 2024 00:00",""
"Courses Annemasse","99.20","EUR","0.974965","96.72","Dépense","Courses","Emilian","0.00","96.72","-48.36","-48.36","26 mars 2024 00:00",""
"Mouv'Nyon","16.70","CHF","1","16.70","Dépense","Sport ⚾","Caps","16.70","0.00","-16.70","0.00","1 juin 2024 00:00",""
"Mouv'Nyon","16.70","CHF","1","16.70","Dépense","Sport ⚾","Caps","16.70","0.00","-16.70","0.00","1 mai 2024 00:00",""
"Mouv'Nyon","16.70","CHF","1","16.70","Dépense","Sport ⚾","Caps","16.70","0.00","-16.70","0.00","1 avril 2024 00:00",""
"Too good to go","7.90","CHF","1","7.90","Dépense","Courses","Emilian","0.00","7.90","-3.95","-3.95","25 mars 2024 00:00",""
"Too good to go","7.90","CHF","1","7.90","Dépense","Courses","Emilian","0.00","7.90","-3.95","-3.95","24 mars 2024 00:00",""
"Sport Mouv'Nyon","16.70","CHF","1","16.70","Dépense","Sport ⚾","Emilian","0.00","16.70","0.00","-16.70","1 juin 2024 00:00",""
"Sport Mouv'Nyon","16.70","CHF","1","16.70","Dépense","Sport ⚾","Emilian","0.00","16.70","0.00","-16.70","1 mai 2024 00:00",""
"Sport Mouv'Nyon","16.70","CHF","1","16.70","Dépense","Sport ⚾","Emilian","0.00","16.70","0.00","-16.70","1 avril 2024 00:00",""
"Abo CFF","260.00","CHF","1","260.00","Dépense","Transport","Caps","260.00","0.00","-260.00","0.00","1 avril 2024 00:00",""
"Abo CFF","260.00","CHF","1","260.00","Dépense","Transport","Emilian","0.00","260.00","0.00","-260.00","1 avril 2024 00:00",""
"Produits gifi","13.00","CHF","1","13.00","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","13.00","-13.00","0.00","23 mars 2024 00:00",""
"Vélo","50.00","CHF","1","50.00","Dépense","Dépense unique ⚡","Emilian","0.00","50.00","0.00","-50.00","23 mars 2024 00:00",""
"Étendoir vaisselle","13.00","CHF","1","13.00","Dépense","Dépense unique ⚡","Emilian","0.00","13.00","-6.50","-6.50","23 mars 2024 00:00",""
"Produits d'hygiène","8.00","EUR","0.965372","7.72","Dépense","Hygiène et cosmétique 🧴","Caps","7.72","0.00","-3.86","-3.86","18 mars 2024 00:00",""
"Courses","85.00","EUR","0.965372","82.06","Dépense","Courses","Caps","82.06","0.00","-41.03","-41.03","18 mars 2024 00:00",""
"Coursettes weekend","5.95","CHF","1","5.95","Dépense","Courses","Caps","5.95","0.00","-2.97","-2.98","16 mars 2024 00:00",""
"Shampooing solide","3.15","EUR","0.965734","3.04","Dépense","Hygiène et cosmétique 🧴","Caps","3.04","0.00","-1.52","-1.52","11 mars 2024 00:00",""
"Abo train CFF","260.00","CHF","1","260.00","Dépense","Transport","Caps","260.00","0.00","-260.00","0.00","11 mars 2024 00:00",""
"Abo train CFF","260.00","CHF","1","260.00","Dépense","Transport","Emilian","0.00","260.00","0.00","-260.00","11 mars 2024 00:00",""
"Loyer Mars","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Caps","775.00","0.00","-775.00","0.00","11 mars 2024 00:00",""
"Loyer Mars","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Emilian","0.00","775.00","0.00","-775.00","11 mars 2024 00:00",""
"Courses Leclerc","74.85","EUR","0.965734","72.29","Dépense","Courses","Caps","72.29","0.00","-36.14","-36.15","11 mars 2024 00:00",""
"Apéro Caps","19.00","EUR","0.965734","18.35","Dépense","Taff 🥂","Caps","18.35","0.00","-18.35","0.00","11 mars 2024 00:00",""
"To good to go fleur de pain 🍞","7.90","CHF","1","7.90","Dépense","Courses","Emilian","0.00","7.90","-3.95","-3.95","11 mars 2024 00:00",""
"Gel aloe Vera","12.50","CHF","1","12.50","Dépense","Hygiène et cosmétique 🧴","Caps","12.50","0.00","-12.50","0.00","11 mars 2024 00:00",""
"To good to go café Milo","5.90","CHF","1","5.90","Dépense","Courses","Emilian","0.00","5.90","-2.95","-2.95","11 mars 2024 00:00",""
"Galettes bio","2.60","CHF","1","2.60","Dépense","Courses","Caps","2.60","0.00","-1.30","-1.30","11 mars 2024 00:00",""
"Adaptateur international","15.50","EUR","0.965734","14.97","Dépense","Dépense unique ⚡","Emilian","0.00","14.97","-7.48","-7.49","11 mars 2024 00:00",""
"To good to go Coop","5.90","CHF","1","5.90","Dépense","Courses","Emilian","0.00","5.90","-2.95","-2.95","11 mars 2024 00:00",""
"Courses Annemasse","81.58","EUR","0.965734","78.78","Dépense","Courses","Caps","78.78","0.00","-39.39","-39.39","11 mars 2024 00:00",""
"To good to go Migros","5.90","CHF","1","5.90","Dépense","Courses","Emilian","0.00","5.90","-2.95","-2.95","11 mars 2024 00:00",""
"P'tite courses Aldi","6.90","CHF","1","6.90","Dépense","Courses","Emilian","0.00","6.90","-3.45","-3.45","11 mars 2024 00:00",""
"Lait","1.80","CHF","1","1.80","Dépense","Courses","Emilian","0.00","1.80","-0.90","-0.90","11 mars 2024 00:00",""
"Midi Montreux 🥙","22.00","CHF","1","22.00","Dépense","Restaurants & Bars","Emilian","0.00","22.00","-11.00","-11.00","11 mars 2024 00:00",""
"Burger King","29.80","CHF","1","29.80","Dépense","Restaurants & Bars","Emilian","0.00","29.80","-14.90","-14.90","11 mars 2024 00:00",""
"Courses Migros Genève","24.60","CHF","1","24.60","Dépense","Courses","Emilian","0.00","24.60","-12.30","-12.30","11 mars 2024 00:00",""
"Courses Coop 29/02","41.70","CHF","1","41.70","Dépense","Courses","Caps","41.70","0.00","-20.85","-20.85","29 février 2024 00:00",""
"Gifi (matelas etc.)","104.45","CHF","1","104.45","Dépense","Dépense unique ⚡","Emilian","0.00","104.45","-52.22","-52.23","11 mars 2024 00:00",""
"Courses Denner 28/02","68.50","CHF","1","68.50","Dépense","Courses","Emilian","0.00","68.50","-34.25","-34.25","28 février 2024 00:00",""
Tricount Switzerland 🇨🇭 - exporté le 9 septembre 2024 18:09
