"Titre","Montant","Devise","Taux de change","Montant dans la devise du tricount (CHF)","Type de transaction","Catégorie","Payé par","Payé par Caps","Payé par Emilian","Impacté à Caps","Impacté à Emilian","Date & heure","URL des images"
"Haut H&M","16.00","EUR","0.951916","15.23","Dépense","Vacances 🌴","Caps","15.23","0.00","-15.23","0.00","17 août 2024 00:00",""
"Transport","4.40","EUR","0.951916","4.19","Dépense","Vacances 🌴","Caps","4.19","0.00","-2.09","-2.10","17 août 2024 00:00",""
"Transport","4.40","EUR","0.951916","4.19","Dépense","Vacances 🌴","Caps","4.19","0.00","-2.09","-2.10","17 août 2024 00:00",""
"Frozen coffe smoothie","9.00","EUR","0.951916","8.57","Dépense","Vacances 🌴","Caps","8.57","0.00","-4.28","-4.29","16 août 2024 00:00",""
"Locker gare Lucerne","12.00","CHF","1","12.00","Dépense","Vacances 🌴","Caps","12.00","0.00","-6.00","-6.00","16 août 2024 00:00",""
"MacDo Lugano","26.10","CHF","1","26.10","Dépense","Vacances 🌴","Emilian","0.00","26.10","-13.05","-13.05","14 août 2024 00:00",""
"Morcote Glaces Swib","9.00","CHF","1","9.00","Dépense","Vacances 🌴","Emilian","0.00","9.00","-4.50","-4.50","15 août 2024 00:00",""
"Affogato","8.50","CHF","1","8.50","Dépense","Vacances 🌴","Emilian","0.00","8.50","-4.25","-4.25","16 août 2024 00:00",""
"Supérette gare Monza","6.63","EUR","0.96471","6.40","Dépense","Vacances 🌴","Emilian","0.00","6.40","-3.20","-3.20","13 août 2024 00:00",""
"Boulangerie Varenna","18.00","EUR","0.96471","17.36","Dépense","Vacances 🌴","Emilian","0.00","17.36","-8.68","-8.68","13 août 2024 00:00",""
"Resto Duomo","30.80","EUR","0.96471","29.71","Dépense","Vacances 🌴","Emilian","0.00","29.71","-14.85","-14.86","12 août 2024 00:00",""
"Transport","5.20","EUR","0.96471","5.02","Dépense","Vacances 🌴","Emilian","0.00","5.02","-2.51","-2.51","17 août 2024 00:00",""
"Boissons fraiches","8.00","EUR","0.96471","7.72","Dépense","Vacances 🌴","Emilian","0.00","7.72","-3.86","-3.86","17 août 2024 00:00",""
"Transport","4.40","EUR","0.96471","4.24","Dépense","Vacances 🌴","Emilian","0.00","4.24","-2.12","-2.12","17 août 2024 00:00",""
"Verres Navigli","18.00","EUR","0.96471","17.36","Dépense","Vacances 🌴","Emilian","0.00","17.36","-8.68","-8.68","17 août 2024 00:00",""
"Transport","7.00","EUR","0.96471","6.75","Dépense","Vacances 🌴","Emilian","0.00","6.75","-3.37","-3.38","17 août 2024 00:00",""
"Transport Lugano AR","7.20","CHF","1","7.20","Dépense","Vacances 🌴","Emilian","0.00","7.20","0.00","-7.20","17 août 2024 00:00",""
"Snack bar","5.50","CHF","1","5.50","Dépense","Vacances 🌴","Emilian","0.00","5.50","-2.75","-2.75","17 août 2024 00:00",""
"Chemise H&M Entretien","30.25","CHF","1","30.25","Dépense","Shopping","Emilian","0.00","30.25","0.00","-30.25","17 août 2024 00:00",""
"Fine pizza","35.50","EUR","0.96471","34.25","Dépense","Vacances 🌴","Emilian","0.00","34.25","-17.12","-17.13","17 août 2024 00:00",""
"Dernier resto milan","25.80","EUR","0.96471","24.89","Dépense","Vacances 🌴","Emilian","0.00","24.89","-12.44","-12.45","17 août 2024 00:00",""
"Lego","10.00","EUR","0.96471","9.65","Dépense","Vacances 🌴","Emilian","0.00","9.65","-4.82","-4.83","17 août 2024 00:00",""
"Transport","10.10","EUR","0.96471","9.74","Dépense","Vacances 🌴","Emilian","0.00","9.74","0.00","-9.74","17 août 2024 00:00",""
"Transport","5.20","EUR","0.96471","5.02","Dépense","Vacances 🌴","Emilian","0.00","5.02","-2.51","-2.51","17 août 2024 00:00",""
"Métro milan","2.20","EUR","0.96471","2.12","Dépense","Vacances 🌴","Emilian","0.00","2.12","0.00","-2.12","17 août 2024 00:00",""
"Denner","32.80","CHF","1","32.80","Dépense","Courses","Emilian","0.00","32.80","-16.40","-16.40","17 août 2024 00:00",""
"Resto Monza","33.50","EUR","0.951916","31.89","Dépense","Vacances 🌴","Caps","31.89","0.00","-15.94","-15.95","15 août 2024 00:00",""
"Fondation Prada","13.00","EUR","0.953311","12.39","Dépense","Vacances 🌴","Caps","12.39","0.00","-12.39","0.00","13 août 2024 00:00",""
"Aperitivo","26.00","EUR","0.953311","24.79","Dépense","Vacances 🌴","Caps","24.79","0.00","-12.39","-12.40","13 août 2024 00:00",""
"Panino","16.80","EUR","0.948351","15.93","Dépense","Vacances 🌴","Caps","15.93","0.00","-7.96","-7.97","13 août 2024 00:00",""
"Transport","14.20","EUR","0.948351","13.47","Dépense","Vacances 🌴","Emilian","0.00","13.47","-6.73","-6.74","12 août 2024 00:00",""
"Bellagio Come","10.00","EUR","0.948351","9.48","Dépense","Vacances 🌴","Caps","9.48","0.00","-4.74","-4.74","12 août 2024 00:00",""
"Bateau","18.40","EUR","0.948351","17.45","Dépense","Vacances 🌴","Emilian","0.00","17.45","-8.72","-8.73","12 août 2024 00:00",""
"Glaces","6.50","EUR","0.948351","6.16","Dépense","Vacances 🌴","Emilian","0.00","6.16","-3.08","-3.08","12 août 2024 00:00",""
"Boisson","6.00","EUR","0.948351","5.69","Dépense","Vacances 🌴","Emilian","0.00","5.69","-2.84","-2.85","11 août 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","90.00","90.00","1 juin 2024 00:00",""
"Eventail","5.00","EUR","0.948351","4.74","Dépense","Vacances 🌴","Caps","4.74","0.00","-4.74","0.00","11 août 2024 00:00",""
"Transport","18.40","EUR","0.948351","17.45","Dépense","Vacances 🌴","Emilian","0.00","17.45","-8.72","-8.73","11 août 2024 00:00",""
"Resto Milano","62.00","EUR","0.948351","58.80","Dépense","Vacances 🌴","Emilian","0.00","58.80","-29.40","-29.40","11 août 2024 00:00",""
"Métro Milan","4.40","EUR","0.948351","4.17","Dépense","Vacances 🌴","Emilian","0.00","4.17","-2.08","-2.09","11 août 2024 00:00",""
"Iced latte","8.20","EUR","0.948351","7.78","Dépense","Vacances 🌴","Emilian","0.00","7.78","-3.89","-3.89","11 août 2024 00:00",""
"Train","7.00","EUR","0.948351","6.64","Dépense","Vacances 🌴","Emilian","0.00","6.64","-3.32","-3.32","11 août 2024 00:00",""
"Train","7.20","CHF","1","7.20","Dépense","Vacances 🌴","Emilian","0.00","7.20","-3.60","-3.60","10 août 2024 00:00",""
"Mc Do","34.80","CHF","1","34.80","Dépense","Restaurants & Bars","Emilian","0.00","34.80","-17.40","-17.40","11 août 2024 00:00",""
"DM","10.50","EUR","0.948351","9.96","Dépense","Hygiène et cosmétique 🧴","Emilian","0.00","9.96","-9.96","0.00","11 août 2024 00:00",""
"Duomo","40.00","EUR","0.948351","37.93","Dépense","Vacances 🌴","Emilian","0.00","37.93","-18.96","-18.97","11 août 2024 00:00",""
"Verres Côme","10.00","EUR","0.948351","9.48","Dépense","Vacances 🌴","Emilian","0.00","9.48","-4.74","-4.74","10 août 2024 00:00",""
"Tiramisu resto","16.00","EUR","0.948351","15.17","Dépense","Vacances 🌴","Emilian","0.00","15.17","-7.58","-7.59","10 août 2024 00:00",""
"Courses Côme","24.96","EUR","0.96471","24.08","Dépense","Vacances 🌴","Emilian","0.00","24.08","-12.04","-12.04","10 août 2024 00:00",""
"Pain au raisin","3.00","CHF","1","3.00","Dépense","Courses","Caps","3.00","0.00","-3.00","0.00","10 août 2024 00:00",""
"Milan seregno jour 1","5.20","EUR","0.948351","4.93","Dépense","Vacances 🌴","Caps","4.93","0.00","-2.46","-2.47","10 août 2024 00:00",""
"Métro matin 1","4.40","EUR","0.948351","4.17","Dépense","Vacances 🌴","Emilian","0.00","4.17","-2.08","-2.09","10 août 2024 00:00",""
"Resto midi 1","23.00","EUR","0.948351","21.81","Dépense","Vacances 🌴","Emilian","0.00","21.81","-10.90","-10.91","10 août 2024 00:00",""
"Tarte crème","11.00","CHF","1","11.00","Dépense","Plaisir 🍫","Emilian","0.00","11.00","-5.50","-5.50","8 août 2024 00:00",""
"Coiffeur","20.00","CHF","1","20.00","Dépense","Coiffeur 💈","Emilian","0.00","20.00","0.00","-20.00","8 août 2024 00:00",""
"Foccacias avec Romane","28.50","CHF","1","28.50","Dépense","Restaurants & Bars","Caps","28.50","0.00","-28.50","0.00","27 juillet 2024 00:00",""
"Cff","260.00","CHF","1","260.00","Dépense","Transport","Caps","260.00","0.00","-260.00","0.00","2 août 2024 00:00",""
"Cff","260.00","CHF","1","260.00","Dépense","Transport","Emilian","0.00","260.00","0.00","-260.00","2 août 2024 00:00",""
"Courses","114.00","EUR","0.961072","109.56","Dépense","Courses","Emilian","0.00","109.56","-54.78","-54.78","29 juillet 2024 00:00",""
"Courses","26.00","EUR","0.948351","24.66","Dépense","Courses","Emilian","0.00","24.66","-12.33","-12.33","2 août 2024 00:00",""
"Planche apéro","31.00","CHF","1","31.00","Dépense","Restaurants & Bars","Emilian","0.00","31.00","-15.50","-15.50","2 août 2024 00:00",""
"Frais de carte CA","2.00","EUR","0.961072","1.92","Dépense","Frais bancaires 🏦","Emilian","0.00","1.92","0.00","-1.92","2 août 2024 00:00",""
"Swibeco","-180.00","CHF","1","-180.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-180.00","90.00","90.00","2 août 2024 00:00",""
"Salaire","-2023.00","CHF","1","-2023.00","Rentrée d'argent","Salaire 💵","Caps","-2023.00","0.00","2023.00","0.00","1 août 2024 00:00",""
"Salaire","-1967.00","CHF","1","-1967.00","Rentrée d'argent","Salaire 💵","Emilian","0.00","-1967.00","0.00","1967.00","2 août 2024 00:00",""
"Conversion change","5.00","CHF","1","5.00","Dépense","Frais bancaires 🏦","Emilian","0.00","5.00","-2.50","-2.50","2 août 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Caps","775.00","0.00","-775.00","0.00","1 août 2024 00:00",""
"Loyer","775.00","CHF","1","775.00","Dépense","Loyer & Charges","Emilian","0.00","775.00","0.00","-775.00","1 août 2024 00:00",""
"Glaces","7.00","CHF","1","7.00","Dépense","Plaisir 🍫","Caps","7.00","0.00","-3.50","-3.50","2 août 2024 00:00",""
"Courses","92.92","EUR","0.961846","89.37","Dépense","Courses","Emilian","0.00","89.37","-44.68","-44.69","28 juillet 2024 00:00",""
"LinkedIn Premium","16.70","EUR","0.961846","16.06","Dépense","Taff 🥂","Emilian","0.00","16.06","0.00","-16.06","28 juin 2024 00:00",""
"Kebab Lyon","10.50","EUR","0.961846","10.10","Dépense","Restaurants & Bars","Emilian","0.00","10.10","0.00","-10.10","27 juillet 2024 00:00",""
"Caramels","5.61","EUR","0.961846","5.40","Dépense","Taff 🥂","Emilian","0.00","5.40","0.00","-5.40","27 juillet 2024 00:00",""
"Pantalon Staff","50.00","EUR","0.961846","48.09","Dépense","Shopping","Emilian","0.00","48.09","0.00","-48.09","27 juillet 2024 00:00",""
"Migrolino Montreux","7.80","CHF","1","7.80","Dépense","Courses","Emilian","0.00","7.80","-3.90","-3.90","27 juillet 2024 00:00",""
"Coca","1.50","CHF","1","1.50","Dépense","Restaurants & Bars","Emilian","0.00","1.50","0.00","-1.50","17 juillet 2024 00:00",""
"Mitraillette swibeco","12.00","CHF","1","12.00","Dépense","Restaurants & Bars","Emilian","0.00","12.00","0.00","-12.00","17 juillet 2024 00:00",""
"Courses coop","7.40","CHF","1","7.40","Dépense","Courses","Emilian","0.00","7.40","-3.70","-3.70","16 juillet 2024 00:00",""
